"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"2250","276.476703","0.005257","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=1/256, ttl=128 (reply in 2251)"
"2251","276.476895","0.000192","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=1/256, ttl=128 (request in 2250)"
"2252","276.606018","0.129123","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=2/512, ttl=128 (reply in 2253)"
"2253","276.606177","0.000159","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=2/512, ttl=128 (request in 2252)"
"2260","277.626761","0.039005","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=3/768, ttl=128 (reply in 2261)"
"2261","277.626946","0.000185","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=3/768, ttl=128 (request in 2260)"
"2266","278.586346","0.279959","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=4/1024, ttl=128 (reply in 2267)"
"2267","278.586497","0.000151","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=4/1024, ttl=128 (request in 2266)"
"44034","5878.298346","0.061184","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=5/1280, ttl=1 (reply in 44035)"
"44035","5878.298567","0.000221","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=5/1280, ttl=128 (request in 44034)"
"44045","5879.311181","0.143499","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=6/1536, ttl=1 (reply in 44046)"
"44046","5879.311330","0.000149","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=6/1536, ttl=128 (request in 44045)"
"44056","5880.376981","0.495136","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=7/1792, ttl=1 (reply in 44057)"
"44057","5880.377139","0.000158","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=7/1792, ttl=128 (request in 44056)"
"44060","5881.407618","0.001212","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=8/2048, ttl=1 (reply in 44061)"
"44061","5881.407780","0.000162","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=8/2048, ttl=128 (request in 44060)"
"44068","5882.399003","0.068462","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=9/2304, ttl=1 (reply in 44069)"
"44069","5882.399165","0.000162","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=9/2304, ttl=128 (request in 44068)"
"44079","5883.419020","0.160886","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=10/2560, ttl=1 (reply in 44080)"
"44080","5883.419107","0.000087","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=10/2560, ttl=128 (request in 44079)"
"44087","5884.444362","0.062332","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=11/2816, ttl=1 (reply in 44088)"
"44088","5884.444555","0.000193","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=11/2816, ttl=128 (request in 44087)"
"44095","5885.455312","0.160785","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=12/3072, ttl=1 (reply in 44096)"
"44096","5885.455520","0.000208","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=12/3072, ttl=128 (request in 44095)"
"44101","5886.468691","0.357662","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=13/3328, ttl=1 (reply in 44102)"
"44102","5886.468889","0.000198","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=13/3328, ttl=128 (request in 44101)"
"44119","5888.196531","0.034224","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=14/3584, ttl=1 (reply in 44120)"
"44120","5888.196683","0.000152","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=14/3584, ttl=128 (request in 44119)"
"44129","5889.513491","0.328767","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=15/3840, ttl=1 (reply in 44130)"
"44130","5889.513662","0.000171","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=15/3840, ttl=128 (request in 44129)"
"44131","5889.561367","0.047705","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=16/4096, ttl=1 (reply in 44132)"
"44132","5889.561522","0.000155","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=16/4096, ttl=128 (request in 44131)"
"44139","5890.573443","0.058683","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=17/4352, ttl=1 (reply in 44140)"
"44140","5890.573611","0.000168","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=17/4352, ttl=128 (request in 44139)"
"44149","5891.591496","0.042414","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=18/4608, ttl=1 (reply in 44150)"
"44150","5891.591707","0.000211","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=18/4608, ttl=128 (request in 44149)"
