"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"2466","66.349596","0.086237","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=73/18688, ttl=1 (reply in 2467)"
"2467","66.349793","0.000197","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=73/18688, ttl=128 (request in 2466)"
"2507","67.493905","0.000101","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=74/18944, ttl=1 (reply in 2508)"
"2508","67.494060","0.000155","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=74/18944, ttl=128 (request in 2507)"
"2531","68.414179","0.000093","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=75/19200, ttl=1 (reply in 2532)"
"2532","68.414367","0.000188","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=75/19200, ttl=128 (request in 2531)"
"2556","69.436566","0.102262","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=76/19456, ttl=1 (reply in 2557)"
"2557","69.436788","0.000222","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=76/19456, ttl=128 (request in 2556)"
"2582","70.415684","0.057021","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=77/19712, ttl=1 (reply in 2583)"
"2583","70.415869","0.000185","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=77/19712, ttl=128 (request in 2582)"
"2628","71.487341","0.000148","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=78/19968, ttl=1 (reply in 2629)"
"2629","71.487483","0.000142","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=78/19968, ttl=128 (request in 2628)"
"2662","72.512718","0.000156","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=79/20224, ttl=1 (reply in 2663)"
"2663","72.512862","0.000144","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=79/20224, ttl=128 (request in 2662)"
"2686","73.533813","0.000151","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=80/20480, ttl=1 (reply in 2687)"
"2687","73.534019","0.000206","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=80/20480, ttl=128 (request in 2686)"
"2722","74.559072","0.000597","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=81/20736, ttl=1 (reply in 2723)"
"2723","74.559230","0.000158","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=81/20736, ttl=128 (request in 2722)"
"2741","75.530213","0.002919","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=82/20992, ttl=1 (reply in 2742)"
