Request Number,142.254.184.77 Latency (ms),76.167.17.73 Latency (ms),72.129.2.118 Latency (ms)
1.0,24.6,30.4,22.2
2.0,9.49,21.8,18.5
3.0,9.68,22.2,16.1
4.0,18.3,27.9,13.9
5.0,9.49,25.5,16.4
6.0,10.9,25.8,13.3
7.0,15.0,26.2,13.4
8.0,10.7,25.1,19.5
9.0,9.85,23.5,16.3
10.0,9.95,28.1,15.2
11.0,14.0,24.3,11.5
12.0,9.91,39.1,20.7
13.0,10.9,22.7,11.7
14.0,9.33,30.4,16.3
15.0,14.5,21.0,13.2
16.0,9.37,169.0,13.2
17.0,8.74,29.6,15.5
18.0,16.2,69.7,14.5
19.0,19.1,22.8,17.0
20.0,13.4,32.2,19.4
21.0,9.82,24.0,11.0
22.0,11.7,22.2,20.2
23.0,10.1,17.3,20.2
24.0,9.73,23.9,15.1
25.0,10.7,24.7,14.5
26.0,9.67,23.6,15.7
27.0,10.6,26.8,14.7
28.0,12.5,29.6,13.7
29.0,26.4,38.7,15.5
30.0,9.03,30.7,23.4
31.0,10.0,25.4,13.2
32.0,12.5,28.4,12.3
33.0,11.0,92.2,13.1
34.0,14.2,29.4,18.7
35.0,11.3,21.8,16.8
36.0,17.1,32.1,17.0
37.0,8.87,31.6,18.7
38.0,10.0,27.9,17.4
39.0,10.5,28.2,13.0
40.0,13.5,24.6,18.9
41.0,12.0,25.0,15.8
42.0,11.5,25.0,15.0
43.0,11.0,22.0,16.0
44.0,10.3,27.4,15.0
45.0,11.6,31.4,13.4
46.0,24.3,39.3,19.6
47.0,10.9,64.8,12.8
48.0,13.6,21.9,16.1
49.0,11.4,29.9,19.4
50.0,10.9,21.1,29.0
51.0,8.77,21.7,22.5
52.0,11.4,23.9,16.2
53.0,16.7,34.0,23.3
54.0,20.8,37.0,18.8
55.0,16.0,21.9,15.7
56.0,12.5,21.6,14.1
57.0,10.2,33.0,19.0
58.0,14.7,30.8,16.7
59.0,10.1,31.6,25.3
60.0,12.8,28.8,21.2
61.0,13.9,25.0,20.3
62.0,13.4,31.8,14.2
63.0,9.71,28.9,14.7
64.0,13.0,29.5,12.4
65.0,11.8,35.8,18.7
66.0,10.2,23.7,15.7
67.0,12.2,143.0,18.3
68.0,9.3,30.3,15.7
69.0,10.5,28.8,17.5
70.0,16.2,36.3,18.7
