IP Address,Bytes,Time (ms),TTL 
192.168.0.1,192.168.0.1,bytes=32,TTL=64 
192.168.0.1,192.168.0.1,bytes=32,TTL=64 
192.168.0.1,192.168.0.1,bytes=32,TTL=64 
192.168.0.1,192.168.0.1,bytes=32,TTL=64 
192.168.0.1,192.168.0.1,bytes=32,TTL=64 
192.168.0.1,192.168.0.1,bytes=32,TTL=64 
192.168.0.1,192.168.0.1,bytes=32,TTL=64 
192.168.0.1,192.168.0.1,bytes=32,TTL=64 
192.168.0.1,192.168.0.1,bytes=32,TTL=64 
192.168.0.1,192.168.0.1,bytes=32,TTL=64 
192.168.0.1,192.168.0.1,bytes=32,TTL=64 
192.168.0.1,192.168.0.1,bytes=32,TTL=64 
