Request Number,172.19.240.1 Latency (ms),192.168.0.1 Latency (ms),142.254.184.77 Latency (ms),76.167.17.73 Latency (ms),72.129.2.118 Latency (ms)
1.0,0.527,5.93,11.7,31.2,15.3
2.0,0.309,3.52,9.79,23.3,16.7
3.0,0.745,3.03,11.2,75.2,29.4
4.0,0.304,69.1,16.1,132.0,17.7
5.0,0.601,2.75,11.1,29.8,26.3
6.0,0.376,3.9,10.5,22.7,17.9
7.0,0.53,4.91,10.5,27.0,12.9
8.0,0.826,5.2,11.6,182.0,18.3
9.0,0.343,3.74,10.6,34.9,18.6
10.0,0.581,3.93,15.5,31.0,24.4
11.0,0.603,1.53,10.6,29.3,17.7
12.0,0.616,7.86,14.1,34.9,24.5
13.0,0.397,5.69,12.5,57.1,19.1
14.0,0.599,5.6,12.0,26.2,18.1
15.0,0.935,3.57,12.2,13.2,28.6
16.0,0.752,7.25,11.2,29.9,20.2
17.0,0.865,4.75,11.5,51.5,15.9
18.0,0.567,7.04,11.4,25.1,16.9
19.0,0.929,3.96,17.6,33.8,19.1
20.0,0.372,4.65,16.6,33.1,20.3
21.0,0.29,5.36,18.2,28.5,16.9
22.0,0.374,4.87,15.0,29.8,18.6
23.0,0.636,4.5,12.7,96.7,15.5
24.0,0.859,4.47,14.9,27.1,19.6
25.0,0.75,3.97,10.3,28.0,15.5
26.0,0.466,3.98,12.2,28.2,18.7
27.0,0.624,4.43,11.4,29.6,18.4
28.0,0.919,4.83,11.7,64.9,23.3
29.0,0.322,2.21,13.1,32.9,23.3
30.0,0.674,3.49,13.3,25.6,21.7
31.0,1.01,3.9,9.5,33.1,17.7
32.0,0.525,5.31,18.8,29.1,15.1
33.0,0.343,112.0,11.2,37.4,15.2
34.0,0.366,20.3,11.3,28.2,19.5
35.0,0.27,1.47,14.9,33.7,17.9
36.0,0.346,4.12,11.2,33.9,15.3
37.0,0.317,3.95,11.2,38.0,11.4
38.0,0.379,4.96,9.99,149.0,22.5
39.0,0.35,4.74,12.0,38.9,15.5
40.0,0.33,4.5,17.8,21.9,18.6
41.0,0.357,4.79,13.0,26.0,20.6
42.0,0.37,3.88,12.6,24.3,12.3
43.0,0.34,4.09,9.97,24.6,17.2
44.0,0.325,151.0,15.6,24.2,14.0
45.0,0.346,4.09,9.76,34.6,15.2
46.0,0.335,3.55,9.86,37.1,15.2
47.0,0.33,2.31,11.6,20.1,20.0
48.0,0.32,2.08,12.3,32.9,15.5
49.0,0.627,4.85,13.9,31.9,14.0
50.0,0.359,3.89,15.7,28.6,15.2
51.0,0.277,2.7,13.7,24.1,23.2
52.0,0.333,5.69,15.9,34.5,16.6
53.0,0.356,4.57,10.1,69.4,21.9
54.0,0.361,6.28,10.4,25.0,21.1
55.0,0.338,5.26,12.9,31.4,13.9
56.0,0.563,1.85,15.4,28.9,19.1
