Request Number,172.19.240.1 Latency (ms),142.254.184.77 Latency (ms),76.167.17.73 Latency (ms),72.129.2.118 Latency (ms)
1.0,0.566,14.1,29.0,17.3
2.0,0.3,104.0,178.0,17.5
3.0,0.461,13.0,31.5,21.8
4.0,0.471,12.3,35.8,20.3
5.0,0.427,10.7,31.5,21.0
6.0,0.4,12.9,34.7,17.7
7.0,0.4,18.1,26.3,19.0
8.0,0.44,16.1,22.1,17.5
9.0,0.426,11.8,32.6,17.2
10.0,0.602,10.7,31.8,16.9
11.0,0.363,10.6,100.0,17.1
12.0,0.317,10.9,32.0,16.6
13.0,0.585,13.0,26.1,15.0
14.0,0.425,12.9,28.2,14.0
15.0,1.07,15.6,65.8,18.0
16.0,0.52,13.0,32.9,24.3
17.0,0.729,14.2,23.3,18.7
18.0,0.647,15.4,24.5,16.3
19.0,0.313,14.1,27.0,23.0
20.0,0.323,12.1,27.0,17.3
21.0,0.437,12.1,27.7,21.0
22.0,0.546,11.1,30.2,15.6
23.0,0.504,16.2,30.5,21.2
24.0,0.583,16.9,23.3,25.8
25.0,0.296,10.3,27.8,19.1
26.0,0.744,14.2,30.4,15.1
27.0,0.354,15.0,139.0,12.0
28.0,0.285,11.6,27.4,19.9
29.0,0.386,10.0,27.4,14.9
30.0,0.548,14.5,37.8,15.2
31.0,0.56,12.6,21.9,17.6
32.0,0.974,13.3,31.1,22.1
33.0,0.564,14.3,25.1,22.2
34.0,0.571,15.1,35.6,22.9
35.0,1.19,16.0,34.9,22.0
36.0,1.17,11.5,23.7,18.4
37.0,0.488,13.9,35.3,15.6
38.0,0.69,14.5,30.0,27.5
39.0,0.393,22.7,27.4,12.0
40.0,0.614,16.7,33.2,18.7
41.0,0.468,11.1,31.9,16.8
42.0,0.548,12.1,35.5,26.3
43.0,0.609,15.1,40.2,16.0
44.0,0.368,15.0,30.5,20.3
45.0,0.394,10.7,23.6,18.9
46.0,0.436,14.4,32.2,15.4
47.0,0.656,15.0,33.4,18.1
48.0,0.65,12.9,36.3,16.1
49.0,0.586,12.1,27.2,13.4
50.0,0.603,12.6,28.0,13.1
51.0,0.65,12.6,33.9,25.0
52.0,0.621,16.7,32.7,18.1
53.0,0.887,13.4,24.3,13.9
54.0,0.518,13.0,22.5,18.5
55.0,0.669,14.8,31.9,16.5
56.0,0.694,16.8,31.9,17.3
57.0,0.655,13.9,32.2,24.1
58.0,0.39,23.3,223.0,23.4
59.0,0.601,84.7,29.9,15.0
60.0,0.783,37.5,28.9,19.7
61.0,0.278,12.4,27.9,20.9
62.0,0.505,15.6,85.6,149.0
63.0,0.552,12.6,32.8,19.0
64.0,0.668,12.6,25.9,19.6
65.0,0.441,15.0,24.9,21.2
66.0,0.335,13.1,27.2,12.9
67.0,0.47,15.1,30.9,17.0
68.0,0.447,18.5,35.3,15.0
69.0,0.349,13.2,28.9,18.1
70.0,0.699,15.7,30.3,20.6
71.0,0.73,13.6,37.8,14.4
72.0,0.739,13.0,56.2,18.7
73.0,0.741,14.5,26.7,22.2
74.0,0.374,16.3,28.6,14.0
75.0,0.593,10.7,31.1,18.7
76.0,0.481,12.4,31.9,16.4
77.0,0.755,13.5,33.8,20.0
78.0,0.431,14.4,26.8,21.4
79.0,0.642,11.8,27.7,19.2
80.0,0.447,18.1,38.1,16.4
81.0,0.449,16.3,25.6,21.7
82.0,0.751,10.5,30.6,24.3
83.0,0.351,15.7,101.0,40.7
84.0,0.433,13.5,82.5,22.0
85.0,0.25,12.4,54.4,14.2
86.0,0.345,20.8,22.2,17.0
87.0,0.587,12.5,29.8,17.7
88.0,0.491,14.0,169.0,20.0
89.0,1.13,11.9,26.6,19.8
90.0,0.433,13.8,26.3,15.6
91.0,0.424,16.2,27.2,15.4
92.0,0.533,20.1,30.9,18.4
93.0,0.502,19.1,26.8,14.9
94.0,0.538,15.1,26.9,14.7
95.0,0.661,16.0,22.4,18.7
96.0,0.909,17.1,213.0,18.0
97.0,0.568,17.1,33.0,19.2
98.0,0.627,14.1,28.1,16.8
99.0,0.316,11.9,26.9,17.5
100.0,0.685,13.0,27.7,13.4
101.0,0.545,13.3,33.6,18.2
102.0,1.15,13.4,24.1,21.6
103.0,0.584,13.2,176.0,18.7
104.0,0.578,15.3,25.2,17.5
105.0,0.591,14.0,29.1,18.4
106.0,0.324,16.7,36.2,23.3
107.0,0.522,13.4,38.7,22.9
108.0,0.34,11.6,28.3,19.3
109.0,0.37,13.2,202.0,20.6
110.0,0.497,13.5,32.3,16.4
111.0,1.41,13.6,31.3,22.3
112.0,0.675,28.1,33.4,19.5
113.0,0.818,12.1,32.6,14.0
114.0,0.42,19.4,28.8,13.6
115.0,0.378,18.6,19.3,16.8
116.0,1.01,14.7,23.7,17.9
117.0,0.543,13.8,21.2,17.8
118.0,0.415,12.2,15.8,16.7
119.0,0.371,128.0,34.8,123.0
120.0,0.755,14.5,27.3,24.2
